iter	Passed	Remaining
0	95	476491
1	180	451398
2	217	361827
3	303	378999
4	386	386347
5	427	355633
6	500	357060
7	557	347770
8	652	361638
9	735	367026
10	779	353748
11	866	360123
12	973	373639
13	1040	370594
14	1121	372665
15	1220	380047
16	1283	376245
17	1334	369434
18	1406	368700
19	1479	368388
20	1579	374521
21	1656	374814
22	1740	376622
23	1847	383124
24	1930	384071
25	2000	382645
26	2039	375605
27	2116	375821
28	2186	374833
29	2262	374792
30	2296	368129
31	2340	363337
32	2416	363681
33	2514	367330
34	2595	368181
35	2637	363615
36	2719	364763
37	2799	365543
38	2871	365251
39	2943	365054
40	3023	365656
41	3104	366433
42	3178	366366
43	3249	366057
44	3319	365567
45	3389	365025
46	3452	363825
47	3518	362952
48	3579	361710
49	3644	360823
50	3707	359774
51	3775	359270
52	3838	358278
53	3909	358095
54	3969	356864
55	4029	355737
56	4094	355055
57	4170	355334
58	4242	355277
59	4317	355455
60	4379	354624
61	4448	354316
62	4512	353660
63	4575	352848
64	4657	353591
65	4722	353027
66	4793	352931
67	4880	353954
68	4945	353446
69	5028	354149
70	5105	354413
71	5178	354465
72	5269	355668
73	5340	355471
74	5401	354725
75	5471	354509
76	5557	355341
77	5624	354916
78	5695	354768
79	5762	354394
80	5830	354064
81	5894	353538
82	5967	353522
83	6033	353098
84	6101	352822
85	6165	352274
86	6233	352036
87	6275	350281
88	6344	350071
89	6410	349732
90	6478	349486
91	6544	349148
92	6623	349482
93	6694	349403
94	6765	349300
95	6841	349511
96	6925	350080
97	6999	350107
98	7062	349633
99	7135	349615
100	7197	349095
101	7274	349296
102	7337	348849
103	7408	348784
104	7488	349090
105	7555	348821
106	7625	348691
107	7687	348204
108	7751	347810
109	7808	347104
110	7872	346740
111	7939	346494
112	8002	346087
113	8071	345942
114	8140	345808
115	8212	345794
116	8276	345422
117	8353	345613
118	8423	345496
119	8465	344247
120	8531	344022
121	8599	343832
122	8668	343715
123	8729	343281
124	8804	343356
125	8873	343246
126	8942	343108
127	9004	342740
128	9065	342302
129	9125	341845
130	9178	341152
131	9245	340956
132	9344	341953
133	9419	342038
134	9484	341780
135	9550	341572
136	9615	341319
137	9677	340943
138	9742	340709
139	9816	340774
140	9885	340676
141	9950	340404
142	10019	340308
143	10078	339884
144	10142	339584
145	10228	340050
146	10309	340349
147	10378	340250
148	10443	340018
149	10510	339853
150	10574	339573
151	10636	339247
152	10709	339261
153	10767	338830
154	10834	338677
155	10903	338569
156	10969	338372
157	11038	338267
158	11100	337974
159	11163	337692
160	11236	337734
161	11298	337407
162	11367	337322
163	11429	337018
164	11490	336695
165	11552	336409
166	11625	336452
167	11670	335655
168	11739	335574
169	11819	335815
170	11883	335574
171	11962	335785
172	12032	335737
173	12099	335582
174	12159	335266
175	12231	335242
176	12308	335401
177	12396	335822
178	12471	335885
179	12535	335661
180	12613	335827
181	12693	336028
182	12765	336011
183	12834	335930
184	12896	335666
185	12962	335488
186	13041	335659
187	13115	335701
188	13181	335536
189	13247	335371
190	13314	335240
191	13357	334481
192	13420	334253
193	13485	334075
194	13553	333979
195	13621	333874
196	13698	333971
197	13776	334120
198	13844	334010
199	13942	334629
200	14043	335293
201	14121	335432
202	14202	335606
203	14276	335645
204	14349	335638
205	14418	335544
206	14489	335509
207	14567	335610
208	14649	335805
209	14708	335486
210	14774	335343
211	14835	335062
212	14897	334818
213	14975	334924
214	15019	334264
215	15098	334414
216	15179	334587
217	15265	334850
218	15354	335194
219	15437	335416
220	15524	335713
221	15597	335705
222	15672	335737
223	15742	335647
224	15806	335439
225	15872	335279
226	15948	335342
227	16027	335461
228	16106	335559
229	16179	335540
230	16262	335730
231	16304	335075
232	16367	334860
233	16443	334904
234	16512	334817
235	16581	334723
236	16656	334754
237	16732	334791
238	16806	334794
239	16888	334960
240	16968	335068
241	17056	335349
242	17129	335334
243	17206	335384
244	17284	335452
245	17365	335595
246	17455	335892
247	17548	336245
248	17627	336330
249	17712	336533
250	17772	336262
251	17848	336294
252	17916	336168
253	17952	335438
254	18021	335349
255	18062	334721
256	18140	334791
257	18214	334787
258	18293	334870
259	18384	335169
260	18457	335127
261	18538	335252
262	18609	335180
263	18681	335134
264	18749	335023
265	18814	334848
266	18889	334843
267	18967	334910
268	19041	334890
269	19108	334751
270	19189	334851
271	19245	334532
272	19328	334678
273	19404	334698
274	19488	334847
275	19560	334797
276	19626	334641
277	19710	334788
278	19783	334761
279	19856	334720
280	19929	334686
281	20009	334771
282	20085	334781
283	20172	334970
284	20285	335593
285	20320	334935
286	20395	334926
287	20474	334985
288	20556	335086
289	20635	335156
290	20716	335232
291	20786	335139
292	20869	335264
293	20959	335501
294	21082	336250
295	21180	336601
296	21251	336523
297	21326	336497
298	21400	336472
299	21481	336537
300	21562	336623
301	21648	336775
302	21672	335959
303	21747	335934
304	21820	335890
305	21887	335744
306	21949	335529
307	22022	335489
308	22063	334948
309	22160	335269
310	22229	335152
311	22311	335241
312	22388	335258
313	22472	335366
